layer thickness (mm),shap,lowess layer thickness (mm),lowess shap
0.03,0.004167591221630573,0.01,0.06631635105567128
0.03,-0.000186548859346658,0.01,0.06631635105567128
0.045,0.0007933331653475761,0.01,0.06631635105567128
0.03,-0.00011050235480070114,0.01,0.06631635105567128
0.04,-0.016483984887599945,0.01,0.06631635105567128
0.05,-0.015101142227649689,0.01,0.06631635105567128
0.03,0.012739156372845173,0.01,0.06631635105567128
0.04,-0.021775875240564346,0.01,0.06631635105567128
0.04,-0.01878633350133896,0.01,0.06631635105567128
0.03,-0.0011619380675256252,0.01,0.06631635105567128
0.03,0.005223916843533516,0.01,0.06631635105567128
0.06,-0.020994246006011963,0.01,0.06631635105567128
0.03,0.00579521618783474,0.01,0.06631635105567128
0.03,-0.0032973019406199455,0.01,0.06631635105567128
0.08,-0.04266544058918953,0.01,0.06631635105567128
0.03,-0.003197908401489258,0.01,0.06631635105567128
0.03,-0.0019695551600307226,0.01,0.06631635105567128
0.04,-0.012397585436701775,0.01,0.06631635105567128
0.03,0.0051573775708675385,0.01,0.06631635105567128
0.04,-0.004051702097058296,0.01,0.06631635105567128
0.03,0.004359076730906963,0.01,0.06631635105567128
0.06,-0.03994474187493324,0.01,0.06631635105567128
0.03,0.004961464088410139,0.01,0.06631635105567128
0.04,-0.007065438665449619,0.01,0.06631635105567128
0.04,-0.017032744362950325,0.01,0.06631635105567128
0.02,0.048879045993089676,0.01,0.06631635105567128
0.03,-0.00040016695857048035,0.01,0.06631635105567128
0.04,-0.015588865615427494,0.01,0.06631635105567128
0.03,-0.006868910975754261,0.01,0.06631635105567128
0.1,-0.0931989848613739,0.01,0.06631635105567128
0.04,-0.014123395085334778,0.01,0.06631635105567128
0.06,-0.02721957489848137,0.02,0.03557185377885625
0.06,-0.0061245085671544075,0.02,0.03557185377885625
0.05,-0.036893732845783234,0.02,0.03557185377885625
0.1,-0.07253238558769226,0.02,0.03557185377885625
0.045,-0.01577380672097206,0.02,0.03557185377885625
0.03,0.008478200994431973,0.02,0.03557185377885625
0.03,0.005487910937517881,0.02,0.03557185377885625
0.08,-0.03623729944229126,0.02,0.03557185377885625
0.03,0.006116894073784351,0.02,0.03557185377885625
0.02,0.05051204189658165,0.02,0.03557185377885625
0.04,-0.015237124636769295,0.02,0.03557185377885625
0.04,-0.009629245847463608,0.02,0.03557185377885625
0.04,-0.01682370901107788,0.02,0.03557185377885625
0.01,0.03948911279439926,0.02,0.03557185377885625
0.04,-0.011725280433893204,0.02,0.03557185377885625
0.025,0.014687221497297287,0.02,0.03557185377885625
0.06,-0.023923367261886597,0.02,0.03557185377885625
0.04,-0.026572100818157196,0.02,0.03557185377885625
0.03,0.0009216293692588806,0.02,0.03557185377885625
0.04,0.00520681357011199,0.02,0.03557185377885625
0.03,0.0012787410523742437,0.02,0.03557185377885625
0.04,-0.007968170568346977,0.02,0.03557185377885625
0.06,-0.02707502618432045,0.02,0.03557185377885625
0.037,-0.0025132002774626017,0.02,0.03557185377885625
0.08,-0.05637391656637192,0.02,0.03557185377885625
0.03,0.0009585251100361347,0.02,0.03557185377885625
0.04,-0.01639034040272236,0.02,0.03557185377885625
0.03,0.004074661061167717,0.02,0.03557185377885625
0.05,-0.014359095133841038,0.02,0.03557185377885625
0.03,0.004195368383079767,0.02,0.03557185377885625
0.06,-0.011730410158634186,0.02,0.03557185377885625
0.04,-0.023089786991477013,0.02,0.03557185377885625
0.04,-0.015829170122742653,0.02,0.03557185377885625
0.025,0.012172894552350044,0.02,0.03557185377885625
0.06,-0.03611719608306885,0.02,0.03557185377885625
0.03,-0.006429505534470081,0.02,0.03557185377885625
0.1,-0.08150289207696915,0.02,0.03557185377885625
0.03,0.0069603100419044495,0.02,0.03557185377885625
0.025,0.002160400152206421,0.02,0.03557185377885625
0.1,-0.06856653839349747,0.02,0.03557185377885625
0.03,-0.0030195724684745073,0.02,0.03557185377885625
0.05,-0.004763489589095116,0.02,0.03557185377885625
0.1,-0.06517762690782547,0.02,0.03557185377885625
0.04,-0.013246521353721619,0.02,0.03557185377885625
0.03,0.010739678516983986,0.02,0.03557185377885625
0.01,0.038427382707595825,0.02,0.03557185377885625
0.03,0.008720003999769688,0.02,0.03557185377885625
0.04,-0.01389523409307003,0.02,0.03557185377885625
0.06,-0.01695164293050766,0.02,0.03557185377885625
0.09,-0.06840553134679794,0.02,0.03557185377885625
0.03,0.010030156932771206,0.02,0.03557185377885625
0.1,-0.07140340656042099,0.02,0.03557185377885625
0.01,0.060271941125392914,0.02,0.03557185377885625
0.03,0.013696464709937572,0.02,0.03557185377885625
0.04,-0.023361481726169586,0.02,0.03557185377885625
0.02,0.0434381365776062,0.02,0.03557185377885625
0.03,-0.0021549148950725794,0.02,0.03557185377885625
0.1,-0.04791390150785446,0.02,0.03557185377885625
0.03,0.008684394881129265,0.02,0.03557185377885625
0.03,0.01590803638100624,0.02,0.03557185377885625
0.075,-0.044722188264131546,0.02,0.03557185377885625
0.03,0.010347054339945316,0.02,0.03557185377885625
0.04,-0.012311792001128197,0.02,0.03557185377885625
0.03,-0.0032515795901417732,0.02,0.03557185377885625
0.06,-0.026220953091979027,0.02,0.03557185377885625
0.06,-0.00959828495979309,0.02,0.03557185377885625
0.03,0.010619739070534706,0.02,0.03557185377885625
0.06,-0.01053423248231411,0.02,0.03557185377885625
0.05,-0.01092279888689518,0.02,0.03557185377885625
0.03,0.002839490305632353,0.02,0.03557185377885625
0.03,0.016069576144218445,0.02,0.03557185377885625
0.03,0.0007129944860935211,0.02,0.03557185377885625
0.03,0.00827567745000124,0.02,0.03557185377885625
0.03,-0.0034009115770459175,0.02,0.03557185377885625
0.03,0.0029753660783171654,0.02,0.03557185377885625
0.03,-0.005014384631067514,0.02,0.03557185377885625
0.03,0.004253329709172249,0.02,0.03557185377885625
0.03,0.0029934882186353207,0.02,0.03557185377885625
0.06,-0.027917126193642616,0.02,0.03557185377885625
0.03,0.0019323872402310371,0.02,0.03557185377885625
0.02,0.029373344033956528,0.02,0.03557185377885625
0.06,-0.01889922097325325,0.02,0.03557185377885625
0.05,-0.006130043417215347,0.02,0.03557185377885625
0.06,-0.02844526246190071,0.02,0.03557185377885625
0.03,0.007243350148200989,0.02,0.03557185377885625
0.03,0.0017756596207618713,0.02,0.03557185377885625
0.03,-0.009259520098567009,0.02,0.03557185377885625
0.03,0.01320805586874485,0.02,0.03557185377885625
0.06,-0.04333404824137688,0.02,0.03557185377885625
0.04,-0.0012528849765658379,0.02,0.03557185377885625
0.04,-0.009545931592583656,0.02,0.03557185377885625
0.03,0.005502564366906881,0.02,0.03557185377885625
0.06,-0.0371747650206089,0.025,0.02073732032554771
0.03,0.012704240158200264,0.025,0.02073732032554771
0.03,-0.001965965609997511,0.025,0.02073732032554771
0.03,0.004145556129515171,0.025,0.02073732032554771
0.03,-0.0026476720813661814,0.025,0.02073732032554771
0.05,-0.010555451735854149,0.025,0.02073732032554771
0.03,0.014180285856127739,0.025,0.02073732032554771
0.03,0.011107298545539379,0.025,0.02073732032554771
0.03,-0.005754493176937103,0.025,0.02073732032554771
0.04,-0.016912752762436867,0.025,0.02073732032554771
0.04,-0.0025920006446540356,0.025,0.02073732032554771
0.03,0.0015573203563690186,0.025,0.02073732032554771
0.04,-0.009724121540784836,0.025,0.02073732032554771
0.037,-0.000998597708530724,0.025,0.02073732032554771
0.02,0.02576410584151745,0.025,0.02073732032554771
0.03,0.009135521948337555,0.025,0.02073732032554771
0.04,-0.010361977852880955,0.025,0.02073732032554771
0.1,-0.05998548865318298,0.025,0.02073732032554771
0.04,0.0010089566931128502,0.025,0.02073732032554771
0.03,0.009529493749141693,0.025,0.02073732032554771
0.05,0.004533843137323856,0.025,0.02073732032554771
0.04,-0.017193607985973358,0.025,0.02073732032554771
0.03,0.004165586084127426,0.025,0.02073732032554771
0.05,-0.00581299839541316,0.025,0.02073732032554771
0.03,-0.0001021306961774826,0.025,0.02073732032554771
0.06,-0.04208589345216751,0.025,0.02073732032554771
0.04,-0.008255282416939735,0.025,0.02073732032554771
0.09,-0.06718837469816208,0.025,0.02073732032554771
0.04,-0.015618138015270233,0.025,0.02073732032554771
0.02,0.04480968043208122,0.025,0.02073732032554771
0.03,0.010457119904458523,0.025,0.02073732032554771
0.03,0.005379637703299522,0.025,0.02073732032554771
0.03,0.006730527617037296,0.025,0.02073732032554771
0.03,0.003541626501828432,0.025,0.02073732032554771
0.03,0.014516089111566544,0.025,0.02073732032554771
0.1,-0.055127035826444626,0.025,0.02073732032554771
0.03,0.016815125942230225,0.025,0.02073732032554771
0.03,0.002566245384514332,0.025,0.02073732032554771
0.03,0.001202935352921486,0.025,0.02073732032554771
0.04,-0.016376689076423645,0.03,0.0032102332421618403
0.03,0.0006928942166268826,0.03,0.0032102332421618403
0.06,-0.023037295788526535,0.03,0.0032102332421618403
0.04,-0.013785319402813911,0.03,0.0032102332421618403
0.08,-0.05989096686244011,0.03,0.0032102332421618403
0.04,-0.003058481262996793,0.03,0.0032102332421618403
0.03,0.004160474985837936,0.03,0.0032102332421618403
0.02,0.03413103520870209,0.03,0.0032102332421618403
0.08,-0.03792719542980194,0.03,0.0032102332421618403
0.03,-0.006511904299259186,0.03,0.0032102332421618403
0.04,-0.013378815725445747,0.03,0.0032102332421618403
0.03,0.0048487489111721516,0.03,0.0032102332421618403
0.03,-0.007392563857138157,0.03,0.0032102332421618403
0.01,0.057450078427791595,0.03,0.0032102332421618403
0.1,-0.07933368533849716,0.03,0.0032102332421618403
0.03,0.003631502389907837,0.03,0.0032102332421618403
0.02,0.04373442754149437,0.03,0.0032102332421618403
0.06,-0.010794500820338726,0.03,0.0032102332421618403
0.1,-0.05862455070018768,0.03,0.0032102332421618403
0.075,-0.015878763049840927,0.03,0.0032102332421618403
0.03,-0.008713934570550919,0.03,0.0032102332421618403
0.04,-0.001222405582666397,0.03,0.0032102332421618403
0.06,0.00021690595895051956,0.03,0.0032102332421618403
0.1,-0.07973795384168625,0.03,0.0032102332421618403
0.04,-0.01600346900522709,0.03,0.0032102332421618403
0.06,-0.04556899145245552,0.03,0.0032102332421618403
0.04,-0.014097504317760468,0.03,0.0032102332421618403
0.03,0.0019359737634658813,0.03,0.0032102332421618403
0.02,0.06004109978675842,0.03,0.0032102332421618403
0.03,-0.0009790034964680672,0.03,0.0032102332421618403
0.03,0.001812380738556385,0.03,0.0032102332421618403
0.03,0.005224630702286959,0.03,0.0032102332421618403
0.05,-0.009066995233297348,0.03,0.0032102332421618403
0.03,0.005003053694963455,0.03,0.0032102332421618403
0.04,-0.012741673737764359,0.03,0.0032102332421618403
0.025,-0.0007664728909730911,0.03,0.0032102332421618403
0.03,0.012278495356440544,0.03,0.0032102332421618403
0.1,-0.05219870060682297,0.03,0.0032102332421618403
0.02,0.031740590929985046,0.03,0.0032102332421618403
0.04,0.016735700890421867,0.03,0.0032102332421618403
0.03,0.0065041957423090935,0.03,0.0032102332421618403
0.03,0.001484458800405264,0.03,0.0032102332421618403
0.03,-0.005023118108510971,0.03,0.0032102332421618403
0.03,0.004315554164350033,0.03,0.0032102332421618403
0.1,-0.07422371953725815,0.03,0.0032102332421618403
0.02,0.05108577385544777,0.03,0.0032102332421618403
0.03,0.011861150152981281,0.03,0.0032102332421618403
0.02,0.05371700972318649,0.03,0.0032102332421618403
0.1,-0.07242249697446823,0.03,0.0032102332421618403
0.03,-0.0003278730437159538,0.03,0.0032102332421618403
0.03,0.013397477567195892,0.03,0.0032102332421618403
0.06,-0.03987380862236023,0.03,0.0032102332421618403
0.03,0.0058622523210942745,0.03,0.0032102332421618403
0.03,0.0023366156965494156,0.03,0.0032102332421618403
0.03,0.0027120686136186123,0.03,0.0032102332421618403
0.04,-0.004251820035278797,0.03,0.0032102332421618403
0.03,0.008497009053826332,0.03,0.0032102332421618403
0.03,0.014566658064723015,0.03,0.0032102332421618403
0.03,0.0002953201765194535,0.03,0.0032102332421618403
0.03,-0.013832084834575653,0.03,0.0032102332421618403
0.02,0.04087752476334572,0.03,0.0032102332421618403
0.03,0.007130551151931286,0.03,0.0032102332421618403
0.1,-0.05717761069536209,0.03,0.0032102332421618403
0.04,-0.026820741593837738,0.03,0.0032102332421618403
0.06,-0.02715224027633667,0.03,0.0032102332421618403
0.01,0.04232637211680412,0.03,0.0032102332421618403
0.03,-0.0010813651606440544,0.03,0.0032102332421618403
0.03,0.004964763298630714,0.03,0.0032102332421618403
0.01,0.0571616068482399,0.03,0.0032102332421618403
0.03,0.010727926157414913,0.03,0.0032102332421618403
0.04,-0.01599263772368431,0.03,0.0032102332421618403
0.03,0.0010538073256611824,0.03,0.0032102332421618403
0.04,-0.015309058129787445,0.03,0.0032102332421618403
0.04,-0.026959218084812164,0.03,0.0032102332421618403
0.03,0.0009374022483825684,0.03,0.0032102332421618403
0.03,0.008039990440011024,0.03,0.0032102332421618403
0.03,0.0018605077639222145,0.03,0.0032102332421618403
0.08,-0.05349022150039673,0.03,0.0032102332421618403
0.03,0.010697372257709503,0.03,0.0032102332421618403
0.03,0.011707523837685585,0.03,0.0032102332421618403
0.06,-0.0272231362760067,0.03,0.0032102332421618403
0.1,-0.08627884835004807,0.03,0.0032102332421618403
0.03,0.0005533327348530293,0.03,0.0032102332421618403
0.04,-0.009837334975600243,0.03,0.0032102332421618403
0.03,-0.00028220005333423615,0.03,0.0032102332421618403
0.04,-0.0020167790353298187,0.03,0.0032102332421618403
0.03,0.00991048663854599,0.03,0.0032102332421618403
0.03,0.0017350930720567703,0.03,0.0032102332421618403
0.06,-0.028736919164657593,0.03,0.0032102332421618403
0.037,-0.01777540147304535,0.03,0.0032102332421618403
0.1,-0.08022929728031158,0.03,0.0032102332421618403
0.03,0.002983660437166691,0.03,0.0032102332421618403
0.03,0.003617767244577408,0.03,0.0032102332421618403
0.05,0.010576522909104824,0.03,0.0032102332421618403
0.06,-0.042892999947071075,0.03,0.0032102332421618403
0.05,-0.0015959893353283405,0.03,0.0032102332421618403
0.03,-0.000838743057101965,0.03,0.0032102332421618403
0.03,-0.0032291458919644356,0.03,0.0032102332421618403
0.03,-0.0019652647897601128,0.03,0.0032102332421618403
0.05,-0.0029601668938994408,0.03,0.0032102332421618403
0.03,0.0009111345279961824,0.03,0.0032102332421618403
0.03,0.0070665692910552025,0.03,0.0032102332421618403
0.05,-0.0020908897276967764,0.03,0.0032102332421618403
0.03,7.690582424402237e-05,0.03,0.0032102332421618403
0.03,0.0050939470529556274,0.03,0.0032102332421618403
0.03,0.002319787163287401,0.03,0.0032102332421618403
0.03,0.00867408700287342,0.03,0.0032102332421618403
0.03,0.009064560756087303,0.03,0.0032102332421618403
0.08,-0.05641992762684822,0.03,0.0032102332421618403
0.08,-0.05485039949417114,0.03,0.0032102332421618403
0.05,-0.017884351313114166,0.03,0.0032102332421618403
0.03,0.010009022429585457,0.03,0.0032102332421618403
0.03,0.0033922868315130472,0.03,0.0032102332421618403
0.1,-0.08153685927391052,0.03,0.0032102332421618403
0.05,-0.013403583317995071,0.03,0.0032102332421618403
0.02,0.04291090369224548,0.03,0.0032102332421618403
0.03,0.007287623360753059,0.03,0.0032102332421618403
0.03,0.005161478649824858,0.03,0.0032102332421618403
0.1,-0.05245165899395943,0.03,0.0032102332421618403
0.04,-0.022218164056539536,0.03,0.0032102332421618403
0.03,0.0061116828583180904,0.03,0.0032102332421618403
0.1,-0.07194242626428604,0.03,0.0032102332421618403
0.03,0.0021781455725431442,0.03,0.0032102332421618403
0.03,0.0005325726233422756,0.03,0.0032102332421618403
0.09,-0.04213199391961098,0.03,0.0032102332421618403
0.06,-0.026481781154870987,0.03,0.0032102332421618403
0.03,0.0027942988090217113,0.03,0.0032102332421618403
0.025,0.0074086906388401985,0.03,0.0032102332421618403
0.03,0.0051023405976593494,0.03,0.0032102332421618403
0.06,-0.05031987652182579,0.03,0.0032102332421618403
0.03,-0.00069947331212461,0.03,0.0032102332421618403
0.03,0.005663094576448202,0.03,0.0032102332421618403
0.03,0.004733804613351822,0.03,0.0032102332421618403
0.03,0.010171500965952873,0.03,0.0032102332421618403
0.03,0.007823769934475422,0.03,0.0032102332421618403
0.04,-0.017566770315170288,0.03,0.0032102332421618403
0.03,-0.004221150651574135,0.03,0.0032102332421618403
0.06,-0.047710269689559937,0.03,0.0032102332421618403
0.05,-0.0038245529867708683,0.03,0.0032102332421618403
0.05,-0.007158010266721249,0.03,0.0032102332421618403
0.06,-0.028448060154914856,0.03,0.0032102332421618403
0.03,0.009693142026662827,0.03,0.0032102332421618403
0.03,0.010050581768155098,0.03,0.0032102332421618403
0.025,0.01606076769530773,0.03,0.0032102332421618403
0.03,0.01046999916434288,0.03,0.0032102332421618403
0.03,-0.0017837390769273043,0.03,0.0032102332421618403
0.03,0.0040084426291286945,0.03,0.0032102332421618403
0.06,-0.03292880952358246,0.03,0.0032102332421618403
0.06,-0.011944595724344254,0.03,0.0032102332421618403
0.1,-0.060812994837760925,0.03,0.0032102332421618403
0.03,-0.01076999120414257,0.03,0.0032102332421618403
0.03,-0.011096836999058723,0.03,0.0032102332421618403
0.03,0.011240965686738491,0.03,0.0032102332421618403
0.03,0.015059785917401314,0.03,0.0032102332421618403
0.03,0.0028388802893459797,0.03,0.0032102332421618403
0.03,-0.0006040632724761963,0.03,0.0032102332421618403
0.04,-0.015245356597006321,0.03,0.0032102332421618403
0.02,0.028388123959302902,0.03,0.0032102332421618403
0.03,0.001420110696926713,0.03,0.0032102332421618403
0.04,-0.006372728385031223,0.03,0.0032102332421618403
0.03,0.010218095034360886,0.03,0.0032102332421618403
0.03,-0.0011680121533572674,0.03,0.0032102332421618403
0.03,0.0008670161478221416,0.03,0.0032102332421618403
0.08,-0.053830452263355255,0.03,0.0032102332421618403
0.04,-0.02229662612080574,0.03,0.0032102332421618403
0.03,-4.8922374844551086e-05,0.03,0.0032102332421618403
0.03,0.0064854491502046585,0.03,0.0032102332421618403
0.1,-0.05460755527019501,0.03,0.0032102332421618403
0.03,-0.0019252174533903599,0.03,0.0032102332421618403
0.04,-0.010780474171042442,0.03,0.0032102332421618403
0.05,-0.012880472466349602,0.03,0.0032102332421618403
0.04,-0.008906873874366283,0.03,0.0032102332421618403
0.02,0.05550352483987808,0.03,0.0032102332421618403
0.03,0.0028306455351412296,0.03,0.0032102332421618403
0.03,7.035164162516594e-05,0.03,0.0032102332421618403
0.03,0.0029279650188982487,0.03,0.0032102332421618403
0.04,-0.016196168959140778,0.03,0.0032102332421618403
0.03,0.0092384098097682,0.03,0.0032102332421618403
0.03,0.0027280189096927643,0.03,0.0032102332421618403
0.1,-0.07872994989156723,0.03,0.0032102332421618403
0.06,-0.025692716240882874,0.03,0.0032102332421618403
0.03,-0.012404842302203178,0.03,0.0032102332421618403
0.03,0.00519709475338459,0.03,0.0032102332421618403
0.02,0.05833306908607483,0.03,0.0032102332421618403
0.03,0.00436810590326786,0.03,0.0032102332421618403
0.03,0.0007223659195005894,0.03,0.0032102332421618403
0.03,0.006286114454269409,0.03,0.0032102332421618403
0.02,0.038115404546260834,0.03,0.0032102332421618403
0.03,0.0037942929193377495,0.03,0.0032102332421618403
0.03,0.008354714140295982,0.03,0.0032102332421618403
0.05,-0.011589393950998783,0.03,0.0032102332421618403
0.04,-0.019809216260910034,0.03,0.0032102332421618403
0.03,0.0038529932498931885,0.03,0.0032102332421618403
0.03,0.009083281271159649,0.03,0.0032102332421618403
0.06,-0.056674085557460785,0.03,0.0032102332421618403
0.06,-0.011794015765190125,0.03,0.0032102332421618403
0.06,-0.028560135513544083,0.03,0.0032102332421618403
0.03,0.009136166423559189,0.03,0.0032102332421618403
0.02,0.047473035752773285,0.03,0.0032102332421618403
0.03,0.004826112650334835,0.03,0.0032102332421618403
0.03,0.00608478207141161,0.03,0.0032102332421618403
0.06,-0.03992408514022827,0.03,0.0032102332421618403
0.04,-0.02639010362327099,0.03,0.0032102332421618403
0.06,0.0031591961160302162,0.03,0.0032102332421618403
0.03,0.0033285943791270256,0.03,0.0032102332421618403
0.05,-0.018360013142228127,0.03,0.0032102332421618403
0.03,0.004133895970880985,0.03,0.0032102332421618403
0.05,-0.007726458832621574,0.03,0.0032102332421618403
0.03,0.00028550298884510994,0.03,0.0032102332421618403
0.04,-0.018937356770038605,0.03,0.0032102332421618403
0.03,0.0007541882805526257,0.03,0.0032102332421618403
0.03,0.005272031761705875,0.03,0.0032102332421618403
0.04,-0.00370236998423934,0.03,0.0032102332421618403
0.03,0.0017623195890337229,0.03,0.0032102332421618403
0.04,-0.016243496909737587,0.03,0.0032102332421618403
0.02,0.06420274078845978,0.03,0.0032102332421618403
0.04,-0.007709114346653223,0.03,0.0032102332421618403
0.02,0.05465659499168396,0.03,0.0032102332421618403
0.04,-0.021140476688742638,0.03,0.0032102332421618403
0.03,-0.0041951886378228664,0.03,0.0032102332421618403
0.09,-0.027794044464826584,0.03,0.0032102332421618403
0.06,-0.032119687646627426,0.03,0.0032102332421618403
0.03,0.002907183952629566,0.03,0.0032102332421618403
0.03,0.0030315867625176907,0.03,0.0032102332421618403
0.03,0.007698702625930309,0.03,0.0032102332421618403
0.03,0.008394111879169941,0.03,0.0032102332421618403
0.03,0.004958567209541798,0.03,0.0032102332421618403
0.03,0.00603833794593811,0.03,0.0032102332421618403
